WEEK;DATE;TIME;HOME;AWAY
9;06/06/2025;19:00;ASA Aarhus;KoldingQ
9;07/06/2025;14:00;Midtjylland;Østerbro IF
9;07/06/2025;15:00;Thy-ThistedQ;B93 København
10;15/06/2025;14:00;Østerbro IF;ASA Aarhus
10;15/06/2025;14:00;B93 København;Midtjylland
10;15/06/2025;14:00;KoldingQ;Thy-ThistedQ
