WEEK;DATE;TIME;HOME;AWAY
10;07/06/2025;13:00;AIK Fotboll Dam;Rosengård
10;07/06/2025;14:00;Brommapojkarna;Växjö
10;07/06/2025;15:00;Malmö;Djurgården
10;07/06/2025;16:00;Alingsås FC United;Kristianstad
10;08/06/2025;15:00;Hammarby;Vittsjö
10;08/06/2025;15:00;IFK Norrköping DFK;Piteå
10;09/06/2025;19:00;Linköping;BK Häcken
11;14/06/2025;15:00;Vittsjö;Alingsås FC United
11;14/06/2025;15:00;BK Häcken;AIK Fotboll Dam
11;14/06/2025;15:00;Växjö;IFK Norrköping DFK
