WEEK;DATE;TIME;HOME;AWAY
12;13/06/2025;19:00;Örebro;Sandvikens IF
12;14/06/2025;15:00;Falkenberg;Helsingborg
12;14/06/2025;15:00;Östersund;Oddevold
12;14/06/2025;15:00;Kalmar;Landskrona
12;14/06/2025;17:00;Umeå FC;Sundsvall
12;15/06/2025;15:00;Brage;Örgryte
12;15/06/2025;15:00;Trelleborg;Utsikten
12;15/06/2025;17:00;Varberg;Västerås
13;22/06/2025;15:00;Sandvikens IF;Falkenberg
13;22/06/2025;15:00;Utsikten;Östersund
