WEEK;DATE;TIME;HOME;AWAY
13;06/06/2025;20:00;Fluminense FC;Grêmio FBPA
13;07/06/2025;15:00;Juventude;Sport Recife
13;07/06/2025;15:00;Cruzeiro EC;AE 3B da Amazônia
13;07/06/2025;17:00;Red Bull Bragantino;São Paulo
13;07/06/2025;18:00;Internacional;América (MG)
13;08/06/2025;11:00;EC Bahia;Ferroviária
13;07/06/2025;21:00;Real Brasília FC;Palmeiras
13;09/06/2025;20:00;Corinthians;Flamengo
14;;;AE 3B da Amazônia;EC Bahia
14;14/06/2025;15:00;Cruzeiro EC;Sport Recife
