WEEK;DATE;TIME;HOME;AWAY
4;08/06/2025;15:00;Juan Pablo II;Melgar
15;12/06/2025;15:00;Alianza Atlético;Comerciantes Unidos
15;13/06/2025;15:00;UTC;Atlético Grau
15;14/06/2025;13:15;Melgar;Sport Boys
15;14/06/2025;15:30;Juan Pablo II;CDC Santa Rosa
15;13/06/2025;19:00;Cusco;Cienciano
15;15/06/2025;11:00;Sporting Cristal;Deportivo Garcilaso
15;15/06/2025;15:00;Ayacucho;Universitario
15;15/06/2025;17:30;Binacional;Alianza Univ
15;14/06/2025;20:00;Alianza Lima;Sport Huancayo
