WEEK;DATE;TIME;HOME;AWAY
11;06/06/2025;19:30;Louisville;Royals
11;07/06/2025;13:00;Gotham FC;Current
11;07/06/2025;16:30;Bay FC;Thorns
11;07/06/2025;19:00;Pride;Dash
11;06/06/2025;19:00;Wave;Reign
11;08/06/2025;16:00;Spirit;Courage
11;07/06/2025;19:00;Angel City;Chicago Stars
12;14/06/2025;16:00;Chicago Stars;Reign
12;14/06/2025;18:30;Current;Louisville
12;13/06/2025;19:00;Bay FC;Pride
