WEEK;DATE;TIME;HOME;AWAY
9;;;Pacific FC;Atlético Ottawa
10;08/06/2025;15:30;Forge FC;HFX Wanderers
10;08/06/2025;16:00;Cavalry FC;York United
10;;;Pacific FC;York United
10;14/06/2025;16:00;HFX Wanderers;Cavalry FC
11;15/06/2025;13:00;Vancouver FC;Forge FC
11;15/06/2025;19:00;Atlético Ottawa;Valour FC
11;21/06/2025;16:00;Cavalry FC;Pacific FC
11;21/06/2025;16:00;HFX Wanderers;Vancouver FC
12;;;York United;Atlético Ottawa
